state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
Illinois,Cumberland,4.0,6.0,3.0,0.0,Non-Metro
Illinois,DeWitt,8.0,56.0,10.0,47.0,Non-Metro
Illinois,Edgar,3.0,29.0,8.0,28.0,Non-Metro
Illinois,Edwards,6.0,7.0,2.0,1.0,Non-Metro
Illinois,Effingham,13.0,138.0,11.0,92.0,Non-Metro
Illinois,Fayette,33.0,61.0,7.0,43.0,Non-Metro
Illinois,Greene,3.0,12.0,4.0,13.0,Non-Metro
Illinois,Hamilton,7.0,6.0,4.0,6.0,Non-Metro
Illinois,Hancock,5.0,16.0,8.0,6.0,Non-Metro
Illinois,Henderson,2.0,8.0,0.0,6.0,Non-Metro
Illinois,Iroquois,26.0,129.0,31.0,114.0,Non-Metro
Illinois,Jackson,16.0,216.0,39.0,198.0,Non-Metro
Illinois,Jasper,7.0,37.0,3.0,39.0,Non-Metro
Illinois,Jefferson,25.0,124.0,15.0,117.0,Non-Metro
Illinois,Jo Daviess,7.0,65.0,6.0,55.0,Non-Metro
Illinois,La Salle,37.0,151.0,34.0,120.0,Non-Metro
Illinois,Lawrence,8.0,16.0,9.0,8.0,Non-Metro
Illinois,Livingston,33.0,67.0,22.0,43.0,Non-Metro
Illinois,Logan,6.0,45.0,16.0,116.0,Non-Metro
Illinois,Marion,30.0,144.0,34.0,112.0,Non-Metro
Illinois,Mason,1.0,0.0,4.0,2.0,Non-Metro
Illinois,Montgomery,25.0,71.0,14.0,74.0,Non-Metro
Illinois,Morgan,6.0,25.0,2.0,19.0,Non-Metro
Illinois,Moultrie,3.0,13.0,8.0,10.0,Non-Metro
Illinois,Perry,9.0,17.0,5.0,13.0,Non-Metro
Illinois,Pike,8.0,29.0,6.0,15.0,Non-Metro
Illinois,Pulaski,10.0,27.0,4.0,16.0,Non-Metro
Illinois,Putnam,0.0,14.0,0.0,8.0,Non-Metro
